# 419.65,469.71
# Observing time [BJD],RV[km/s],RV_ERR[km/s]
2454341.49222512,-1.795276,0.001297
2454341.49605602,-1.796453,0.001200
2454341.49988691,-1.797888,0.001242
2454341.50372937,-1.801007,0.001262
2454341.50756026,-1.804210,0.001249
2454341.51140273,-1.802256,0.001256
2454341.51524519,-1.806452,0.001208
2454341.51907608,-1.805030,0.001224
2454341.52291855,-1.808057,0.001217
2454341.52674944,-1.799818,0.001180
2454341.53058033,-1.788787,0.000975
2454341.53441122,-1.784178,0.000976
2454341.53825368,-1.782793,0.000985
2454341.54209615,-1.787603,0.000935
2454341.54592704,-1.799660,0.000958
2454341.54975793,-1.810284,0.000959
2454341.55358882,-1.819975,0.000960
2454341.55741971,-1.832096,0.000979
2454341.56126217,-1.844290,0.000989
2454341.56509306,-1.855295,0.001037
2454341.56892395,-1.862336,0.001019
2454341.57275485,-1.870644,0.000992
2454341.57659731,-1.880066,0.001026
2454341.58042820,-1.876531,0.000981
2454341.58425909,-1.868107,0.001000
2454341.58808998,-1.859800,0.000958
2454341.59192087,-1.853627,0.001049
2454341.59575176,-1.853596,0.001112
2454341.59959422,-1.855182,0.001024
2454341.60342512,-1.856166,0.001037
2454341.60725601,-1.859153,0.001082
2454341.61109847,-1.862377,0.001215
2454341.62311196,-1.873615,0.001469
2454341.62695442,-1.874503,0.001462
2454341.63078531,-1.875758,0.001395
2454341.63461620,-1.877635,0.001437
2454341.63844709,-1.876280,0.001406
2454341.64228956,-1.883288,0.001390
2454341.64612045,-1.879434,0.001335
2454341.64996291,-1.880951,0.001336
